Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_00, 1, 18007, 2025-02-13T12:44:33.301353, SUCCESS, 3676, 6, 104328, 55986, 3, 152207360, 0.0, 0.0, 34.9227141734346345
Exp_00, 1, 18008, 2025-02-13T12:44:36.984609, SUCCESS, 3179, 6, 187104, 78920, 6, 304414720, 0.0, 0.0, 29.6664962559769043
Exp_00, 1, 18006, 2025-02-13T12:44:40.167838, SUCCESS, 3973, 6, 354327, 101590, 9, 456630272, 0.0, 0.0, 22.2825645896073189
Exp_00, 2, 18008, 2025-02-13T12:44:49.156425, SUCCESS, 2927, 10, 415351, 145871, 12, 608854016, 0.0, 0.0, 25.9916753085231869
Exp_00, 2, 18006, 2025-02-13T12:44:51.159099, SUCCESS, 4078, 10, 538409, 213407, 15, 761077760, 0.0, 0.0, 28.3855358225948902
Exp_00, 2, 18007, 2025-02-13T12:44:52.086999, SUCCESS, 3672, 10, 599433, 257614, 18, 913293312, 0.0, 0.0, 30.0583281897025484
Exp_00, 2, 18008, 2025-02-13T12:44:55.243983, SUCCESS, 3365, 10, 660361, 302399, 21, 1065508864, 0.0, 0.0, 31.4095932527317296
Exp_00, 2, 18006, 2025-02-13T12:44:55.761889, SUCCESS, 3406, 10, 783076, 369393, 24, 1217724416, 0.0, 0.0, 32.0523155069680833
Exp_00, 2, 18008, 2025-02-13T12:44:59.172592, SUCCESS, 3361, 10, 843908, 413802, 27, 1369931776, 0.0, 0.0, 32.9012252427030078
Exp_00, 2, 18007, 2025-02-13T12:44:58.614381, SUCCESS, 4249, 10, 904836, 458271, 30, 1522155520, 0.0, 0.0, 33.6195911252748317
Exp_00, 2, 18007, 2025-02-13T12:45:02.866930, SUCCESS, 3165, 10, 965668, 502670, 33, 1674362880, 0.0, 0.0, 34.2339434108495455
Exp_00, 2, 18006, 2025-02-13T12:45:02.539986, SUCCESS, 4109, 10, 1088246, 569801, 36, 1826578432, 0.0, 0.0, 34.3657930082802237
Exp_00, 2, 18008, 2025-02-13T12:45:06.035629, SUCCESS, 3802, 10, 1148982, 614306, 39, 1978793984, 0.0, 0.0, 34.8386650394036595
