requestId, experimento, qtdeUsuarios, unidadeId, startTime, executionStatus, durationInMillis, activeConnections, blockReadFromDisk, blockReadFromCache, totalTempFiles, totalTempFilesSize, ioRead, ioWrite, cacheHitRatio, cpuUsage, memUsage
a4387024-ce9b-4212-9b96-155dd213c2c7, Exp_00, 1, 18007, 2025-02-17T21:33:01.061436, SUCCESS, 3896, 2, 104328, 7213, 3, 152215552, 0, 4096, "6,47", "169,81", "19,08"
3d6a5d38-d990-419b-bf33-aa1b486e2860, Exp_00, 1, 18008, 2025-02-17T21:33:04.963532, SUCCESS, 3460, 3, 187104, 30179, 6, 304431104, 0, 4096, "13,89", "145,01", "25,12"
07a9aa3b-0f6e-418d-b0c4-3006142d3287, Exp_00, 1, 18006, 2025-02-17T21:33:08.428351, SUCCESS, 4200, 3, 354327, 52849, 9, 456638464, 0, 4096, "12,98", "196,64", "32,89"
5fdde527-c46a-42ea-8a25-8ff4170cc65f, Exp_00, 1, 18007, 2025-02-17T21:33:12.631042, SUCCESS, 2718, 3, 415350, 97057, 12, 608862208, 0, 4096, "18,94", "200,40", "32,66"
7c01b13c-ba6e-4b48-b26b-cd0400311872, Exp_00, 1, 18008, 2025-02-17T21:33:15.351999, SUCCESS, 3018, 3, 476373, 141275, 15, 761085952, 0, 4096, "22,87", "211,94", "28,55"
41937ec6-e638-4d7b-b630-8098bfa4b9d9, Exp_00, 1, 18006, 2025-02-17T21:33:18.373500, SUCCESS, 3345, 3, 599437, 207920, 18, 913293312, 0, 4096, "25,75", "202,02", "32,58"
0cf333f5-c0b6-4322-8d75-1324405d8bd0, Exp_00, 1, 18007, 2025-02-17T21:33:21.721780, SUCCESS, 3161, 3, 660364, 252224, 21, 1065508864, 0, 4096, "27,64", "197,18", "30,13"
e27150c3-88bb-4b28-b307-2570178eedc3, Exp_00, 1, 18008, 2025-02-17T21:33:24.885463, SUCCESS, 3318, 3, 721291, 297411, 24, 1217724416, 0, 4096, "29,20", "215,36", "26,20"
2cea58aa-da16-4e43-b98d-2d2a46762194, Exp_00, 1, 18006, 2025-02-17T21:33:28.207871, SUCCESS, 3317, 3, 844144, 364267, 27, 1369931776, 0, 4096, "30,14", "0,00", "28,29"
e18559a6-8fa6-439b-8151-5ea66da27653, Exp_00, 2, 18008, 2025-02-17T21:33:46.541986, SUCCESS, 3127, 5, 904975, 409476, 30, 1522147328, 0, 4096, "31,15", "327,20", "29,58"
a4f0ee78-fff0-4775-ab8c-b01051a3e3be, Exp_00, 2, 18006, 2025-02-17T21:33:47.541327, SUCCESS, 3927, 6, 1027672, 476704, 33, 1674362880, 0, 4096, "31,69", "278,32", "29,90"
cd653523-c7f3-49a8-b00d-73fea068cd0e, Exp_00, 2, 18007, 2025-02-17T21:33:49.671713, SUCCESS, 3526, 6, 1088503, 522271, 36, 1826562048, 0, 4096, "32,42", "244,91", "26,43"
3013883d-d1e2-47cf-8859-7b55c2191e1d, Exp_00, 2, 18008, 2025-02-17T21:33:51.471518, SUCCESS, 3626, 5, 1149238, 567077, 39, 1978769408, 0, 4096, "33,04", "235,17", "30,70"
d96f8447-7446-480e-b340-3cc03bc427f7, Exp_00, 2, 18006, 2025-02-17T21:33:53.201130, SUCCESS, 3755, 5, 1271817, 634391, 42, 2130984960, 0, 4096, "33,28", "264,04", "20,65"
a4fe0596-bc4a-48ad-a39a-a6bb920a6714, Exp_00, 2, 18007, 2025-02-17T21:33:55.100527, SUCCESS, 3263, 5, 1332552, 679053, 45, 2283200512, 0, 4096, "33,76", "257,25", "26,48"
213ec2f4-1517-49dc-ac37-9e3f92d1ed8f, Exp_00, 2, 18008, 2025-02-17T21:33:56.958676, SUCCESS, 3327, 5, 1393191, 723827, 48, 2435407872, 0, 4096, "34,19", "219,94", "29,65"
7f535c03-8572-4622-9eac-4be482113498, Exp_00, 2, 18006, 2025-02-17T21:33:58.366065, SUCCESS, 3503, 5, 1515665, 791062, 51, 2587623424, 0, 4096, "34,29", "255,30", "29,22"
df9edbef-f952-41a9-9e7a-d1e419aab022, Exp_00, 2, 18007, 2025-02-17T21:34:00.288239, SUCCESS, 3155, 5, 1576304, 835654, 54, 2739838976, 0, 4096, "34,65", "236,57", "25,63"
5a042a7d-4f3b-4bf4-ae30-ecada230bb1a, Exp_00, 2, 18008, 2025-02-17T21:34:01.871569, SUCCESS, 3155, 4, 1636847, 880352, 57, 2892054528, 0, 4096, "34,97", "228,74", "30,93"
848a83d1-c18e-48b4-8c39-93bc9cb84ff7, Exp_00, 2, 18006, 2025-02-17T21:34:03.446418, SUCCESS, 3583, 5, 1759217, 948083, 60, 3044270080, 0, 4096, "35,02", "239,67", "20,04"
8c52f0fa-a353-43a0-be25-f7d9c1a7535e, Exp_00, 2, 18007, 2025-02-17T21:34:05.029185, SUCCESS, 3523, 5, 1819760, 993578, 63, 3196485632, 0, 4096, "35,32", "267,06", "25,78"
d0cb7f69-406b-4cb9-9c45-ed1d89202558, Exp_00, 2, 18008, 2025-02-17T21:34:07.032543, SUCCESS, 3305, 5, 1880207, 1038372, 66, 3348692992, 0, 4096, "35,58", "212,31", "29,87"
7f353010-1c71-4712-bcc4-ea1089409e07, Exp_00, 2, 18006, 2025-02-17T21:34:08.554867, SUCCESS, 4179, 5, 2002464, 1106008, 69, 3500908544, 0, 4096, "35,58", "303,68", "28,89"
14268196-ddb7-4962-a435-a7464e2ff199, Exp_00, 2, 18007, 2025-02-17T21:34:10.339774, SUCCESS, 3993, 5, 2062911, 1150792, 72, 3653124096, 0, 4096, "35,81", "253,18", "25,34"
4d95cd5e-75fa-48c2-958f-071c517e5d3e, Exp_00, 2, 18008, 2025-02-17T21:34:12.737011, SUCCESS, 3991, 5, 2123262, 1195854, 75, 3805339648, 0, 4096, "36,03", "95,04", "27,70"
10fa30f7-05d1-4b5e-bd78-953a9dd99999, Exp_00, 2, 18006, 2025-02-17T21:34:14.337038, SUCCESS, 3557, 3, 2245416, 1263409, 78, 3957555200, 0, 4096, "36,01", "0,00", "23,73"
424a696e-03c9-4b2f-a482-e03a0af2c36b, Exp_00, 3, 18007, 2025-02-17T21:34:33.408833, SUCCESS, 4079, 5, 2305767, 1308289, 81, 4109762560, 0, 4096, "36,20", "403,09", "23,60"
be1353cd-9d01-478d-b741-93175936411b, Exp_00, 3, 18006, 2025-02-17T21:34:32.909097, SUCCESS, 4840, 5, 2427825, 1375940, 84, 4261978112, 0, 4096, "36,17", "253,35", "31,64"
9317a65e-e3c5-4577-bdaf-380b730b0ec6, Exp_00, 3, 18008, 2025-02-17T21:34:33.907213, SUCCESS, 8085, 7, 2488080, 1421632, 85, 4414185472, 0, 4096, "36,36", "189,42", "25,65"
a82b719f-56bc-4f9f-8281-2084c139614d, Exp_00, 3, 18006, 2025-02-17T21:34:37.491026, SUCCESS, 5539, 4, 2670279, 1534405, 91, 4718632960, 0, 4096, "36,49", "273,84", "28,18"
