Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_01, 1, 18007, 2025-02-13T11:22:27.561419, SUCCESS, 5318, 6, 90374, 4956, 1, 65429504, 0.0, 0.0, 5.1987831742368614
Exp_01, 1, 18008, 2025-02-13T11:22:32.899466, SUCCESS, 1669, 6, 90379, 96756, 2, 130916352, 0.0, 0.0, 51.7038501616480081
Exp_01, 1, 18006, 2025-02-13T11:22:34.574575, SUCCESS, 1618, 6, 90379, 188264, 3, 196100096, 0.0, 0.0, 67.5645898156422376
Exp_01, 1, 18007, 2025-02-13T11:22:36.196213, SUCCESS, 1622, 6, 90379, 279772, 4, 261586944, 0.0, 0.0, 75.5832079340593433
Exp_01, 2, 18006, 2025-02-13T11:22:42.830617, SUCCESS, 1853, 6, 90379, 371280, 5, 327073792, 0.0, 0.0, 80.4229961941606251
Exp_01, 2, 18007, 2025-02-13T11:22:44.693781, SUCCESS, 1888, 8, 90379, 463555, 6, 392544256, 0.0, 0.0, 83.6841573183808901
Exp_01, 2, 18008, 2025-02-13T11:22:44.833098, SUCCESS, 1999, 8, 90379, 558891, 7, 457736192, 0.0, 0.0, 86.0799051242164277
Exp_01, 2, 18006, 2025-02-13T11:22:46.585799, SUCCESS, 2002, 6, 90379, 709299, 8, 523198464, 0.0, 0.0, 88.6980759755801710
Exp_01, 2, 18007, 2025-02-13T11:22:46.836270, SUCCESS, 1835, 8, 90379, 742207, 9, 588709888, 0.0, 0.0, 89.1447850432267658
Exp_01, 2, 18008, 2025-02-13T11:22:48.592294, SUCCESS, 1672, 7, 90379, 859904, 10, 654221312, 0.0, 0.0, 90.4892542537328354
Exp_01, 2, 18006, 2025-02-13T11:22:48.674408, SUCCESS, 1856, 8, 90379, 925223, 11, 719429632, 0.0, 0.0, 91.1009430859726546
Exp_01, 2, 18007, 2025-02-13T11:22:50.271047, SUCCESS, 2181, 9, 90379, 1052005, 12, 784850944, 0.0, 0.0, 92.0885621647362008
Exp_01, 2, 18008, 2025-02-13T11:22:50.537846, SUCCESS, 1969, 9, 90379, 1108367, 13, 850051072, 0.0, 0.0, 92.4605379288022650
Exp_01, 2, 18006, 2025-02-13T11:22:52.456371, SUCCESS, 1711, 8, 90379, 1229459, 14, 915562496, 0.0, 0.0, 93.1522656568457644
