Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_02, 1, 18007, 2025-02-13T10:59:17.621265, SUCCESS, 3000, 6, 55708, 55464, 0, 0, 0.0, 0.0, 49.8902601374446803
Exp_02, 1, 18008, 2025-02-13T10:59:20.627407, SUCCESS, 1890, 6, 101779, 112043, 0, 0, 0.0, 0.0, 52.4001272086127714
Exp_02, 1, 18006, 2025-02-13T10:59:22.520885, SUCCESS, 1760, 6, 148047, 168350, 0, 0, 0.0, 0.0, 53.2084691068499385
Exp_02, 1, 18007, 2025-02-13T10:59:24.283755, SUCCESS, 1618, 6, 194029, 224705, 0, 0, 0.0, 0.0, 53.6629459274861845
Exp_02, 1, 18008, 2025-02-13T10:59:25.904859, SUCCESS, 1694, 6, 240095, 280968, 0, 0, 0.0, 0.0, 53.9220785202557080
Exp_02, 1, 18006, 2025-02-13T10:59:27.601906, SUCCESS, 1356, 6, 286364, 337264, 0, 0, 0.0, 0.0, 54.0809585201434188
Exp_02, 2, 18008, 2025-02-13T10:59:33.967254, SUCCESS, 902, 6, 286364, 403215, 0, 0, 0.0, 0.0, 58.4726333023482444
Exp_02, 2, 18006, 2025-02-13T10:59:34.872731, SUCCESS, 903, 6, 286364, 542160, 0, 0, 0.0, 0.0, 65.4368491437785749
Exp_02, 2, 18008, 2025-02-13T10:59:35.965336, SUCCESS, 1135, 8, 286734, 652961, 0, 0, 0.0, 0.0, 69.4864823160706399
Exp_02, 2, 18007, 2025-02-13T10:59:35.778456, SUCCESS, 2271, 8, 332746, 709274, 0, 0, 0.0, 0.0, 68.0672156004683211
Exp_02, 2, 18006, 2025-02-13T10:59:37.108607, SUCCESS, 1207, 8, 340700, 804180, 0, 0, 0.0, 0.0, 70.2414226818531200
Exp_02, 2, 18008, 2025-02-13T10:59:38.319139, SUCCESS, 1577, 6, 387725, 962575, 0, 0, 0.0, 0.0, 71.2860105161815893
Exp_02, 2, 18007, 2025-02-13T10:59:38.052968, SUCCESS, 1858, 6, 387725, 962575, 0, 0, 0.0, 0.0, 71.2860105161815893
Exp_02, 2, 18007, 2025-02-13T10:59:39.913980, SUCCESS, 1480, 7, 387725, 1096490, 0, 0, 0.0, 0.0, 73.8767631374160752
Exp_02, 2, 18006, 2025-02-13T10:59:39.899497, SUCCESS, 1533, 8, 387725, 1167450, 0, 0, 0.0, 0.0, 75.0687221695307602
Exp_02, 2, 18006, 2025-02-13T10:59:41.435472, SUCCESS, 1124, 8, 387725, 1270023, 0, 0, 0.0, 0.0, 76.6113426166100035
Exp_02, 2, 18008, 2025-02-13T10:59:41.398109, SUCCESS, 2248, 8, 428870, 1331147, 0, 0, 0.0, 0.0, 75.6326217303582863
Exp_02, 2, 18007, 2025-02-13T10:59:42.563641, SUCCESS, 1833, 8, 454511, 1407842, 0, 0, 0.0, 0.0, 75.5947986230322608
Exp_02, 2, 18008, 2025-02-13T10:59:43.649074, SUCCESS, 1444, 8, 466752, 1497922, 0, 0, 0.0, 0.0, 76.2427761552298244
Exp_02, 2, 18007, 2025-02-13T10:59:45.096477, SUCCESS, 1568, 6, 514540, 1655153, 0, 0, 0.0, 0.0, 76.2851242088166390
Exp_02, 2, 18006, 2025-02-13T10:59:44.400230, SUCCESS, 2259, 6, 514540, 1655153, 0, 0, 0.0, 0.0, 76.2851242088166390
Exp_02, 2, 18008, 2025-02-13T10:59:46.674523, SUCCESS, 1637, 10, 528731, 1752486, 0, 0, 0.0, 0.0, 76.8224154037077577
Exp_02, 2, 18006, 2025-02-13T10:59:46.674523, SUCCESS, 1993, 10, 558384, 1834550, 0, 0, 0.0, 0.0, 76.6652987504043154
Exp_02, 2, 18008, 2025-02-13T10:59:48.670866, SUCCESS, 1164, 10, 558385, 1936899, 0, 0, 0.0, 0.0, 77.6223868705926860
Exp_02, 2, 18007, 2025-02-13T10:59:48.315687, SUCCESS, 2285, 10, 604342, 1993274, 0, 0, 0.0, 0.0, 76.7347444733940659
Exp_02, 2, 18006, 2025-02-13T10:59:49.838015, SUCCESS, 1929, 10, 635151, 2065035, 0, 0, 0.0, 0.0, 76.4775093271352418
Exp_02, 2, 18007, 2025-02-13T10:59:50.604969, SUCCESS, 1354, 9, 635167, 2167342, 0, 0, 0.0, 0.0, 77.3357730519331071
Exp_02, 2, 18006, 2025-02-13T10:59:51.961998, SUCCESS, 922, 9, 635167, 2232424, 0, 0, 0.0, 0.0, 77.8501536655680674
Exp_02, 2, 18007, 2025-02-13T10:59:52.886763, SUCCESS, 1664, 9, 660822, 2346579, 0, 0, 0.0, 0.0, 78.0268078649970523
Exp_02, 2, 18008, 2025-02-13T10:59:51.770542, SUCCESS, 2831, 7, 699695, 2410034, 1, 31064064, 0.0, 0.0, 77.4998078610708522
Exp_02, 3, 18007, 2025-02-13T10:59:59.613813, SUCCESS, 1006, 7, 699695, 2472318, 1, 31064064, 0.0, 0.0, 77.9416099492656556
Exp_02, 3, 18008, 2025-02-13T11:00:00.622472, SUCCESS, 1545, 9, 718978, 2595426, 1, 31064064, 0.0, 0.0, 78.3074724746892654
Exp_02, 3, 18006, 2025-02-13T11:00:01.112136, SUCCESS, 2236, 9, 746529, 2670446, 1, 31064064, 0.0, 0.0, 78.1523423495928416
Exp_02, 3, 18007, 2025-02-13T11:00:02.170656, SUCCESS, 1433, 9, 746530, 2772770, 1, 31064064, 0.0, 0.0, 78.7875429772966215
Exp_02, 3, 18007, 2025-02-13T11:00:03.607328, SUCCESS, 1321, 9, 746530, 2875079, 1, 31064064, 0.0, 0.0, 79.3867863703674251
Exp_02, 3, 18006, 2025-02-13T11:00:03.352861, SUCCESS, 1787, 9, 769235, 2954958, 1, 31064064, 0.0, 0.0, 79.3449211681564301
Exp_02, 3, 18006, 2025-02-13T11:00:05.142803, SUCCESS, 1284, 9, 772563, 3054195, 1, 31064064, 0.0, 0.0, 79.8115532782579928
Exp_02, 3, 18008, 2025-02-13T11:00:04.932557, SUCCESS, 2143, 9, 797163, 3131948, 2, 58884096, 0.0, 0.0, 79.7113647336509455
Exp_02, 3, 18008, 2025-02-13T11:00:02.613369, SUCCESS, 5686, 11, 821679, 3214513, 3, 125534208, 0.0, 0.0, 79.6422221737717135
Exp_02, 3, 18008, 2025-02-13T11:00:07.078695, SUCCESS, 1387, 9, 821679, 3316829, 3, 125534208, 0.0, 0.0, 80.1455258755087582
Exp_02, 3, 18007, 2025-02-13T11:00:06.429342, SUCCESS, 2341, 9, 853020, 3387781, 3, 125534208, 0.0, 0.0, 79.8854037244379069
Exp_02, 3, 18007, 2025-02-13T11:00:08.469008, SUCCESS, 1196, 9, 853020, 3490088, 3, 125534208, 0.0, 0.0, 80.3592266183571765
Exp_02, 3, 18008, 2025-02-13T11:00:08.775432, SUCCESS, 1275, 9, 853020, 3592413, 3, 125534208, 0.0, 0.0, 80.8113180425843782
Exp_02, 3, 18006, 2025-02-13T11:00:09.668741, SUCCESS, 1953, 9, 877511, 3670479, 3, 125534208, 0.0, 0.0, 80.7055204606870288
Exp_02, 3, 18007, 2025-02-13T11:00:10.056623, SUCCESS, 1682, 9, 889717, 3760600, 3, 125534208, 0.0, 0.0, 80.8676053696984528
Exp_02, 3, 18006, 2025-02-13T11:00:08.316448, SUCCESS, 4630, 11, 908672, 3840449, 4, 192184320, 0.0, 0.0, 80.8665224575242450
Exp_02, 3, 18006, 2025-02-13T11:00:11.742255, SUCCESS, 1420, 9, 911528, 3940144, 4, 192184320, 0.0, 0.0, 81.2120852357702664
Exp_02, 3, 18008, 2025-02-13T11:00:11.625448, SUCCESS, 2334, 9, 943486, 4010499, 4, 192184320, 0.0, 0.0, 80.9550089473423920
Exp_02, 3, 18008, 2025-02-13T11:00:13.166078, SUCCESS, 1360, 9, 943487, 4112810, 4, 192184320, 0.0, 0.0, 81.3403563912483780
Exp_02, 3, 18006, 2025-02-13T11:00:13.962950, SUCCESS, 1156, 9, 943487, 4215365, 4, 192184320, 0.0, 0.0, 81.7112993355886155
Exp_02, 3, 18008, 2025-02-13T11:00:15.123766, SUCCESS, 1564, 10, 944029, 4317169, 4, 192184320, 0.0, 0.0, 82.0567672990068042
Exp_02, 3, 18007, 2025-02-13T11:00:14.528919, SUCCESS, 2224, 10, 965623, 4397872, 4, 192184320, 0.0, 0.0, 81.9963848199727976
Exp_02, 3, 18007, 2025-02-13T11:00:12.950826, SUCCESS, 5273, 12, 984413, 4477331, 5, 258834432, 0.0, 0.0, 81.9762149232919009
Exp_02, 3, 18007, 2025-02-13T11:00:16.755628, SUCCESS, 1805, 10, 986738, 4577308, 5, 258834432, 0.0, 0.0, 82.2658187944528137
