Experimento,Nº Usuários,Unidade ID,Data/Hora Início,Status Execução,Duração (ms),Conexões ativas,Nº blocos lidos do disco,Nº blocos lidos da cache,Nº Arq. Temp.,Tamanho Arq. Temp.,I/O Read,I/O Write,Taxa de uso da cache
Exp_04, 1, 18007, 2025-02-13T13:01:21.562019, SUCCESS, 2073, 6, 31067, 52971, 1, 27779072, 0.0, 0.0, 63.0321997191746591
Exp_04, 1, 18008, 2025-02-13T13:01:23.641078, SUCCESS, 929, 6, 46721, 90191, 1, 27779072, 0.0, 0.0, 65.8751606871567138
Exp_04, 1, 18006, 2025-02-13T13:01:24.573530, SUCCESS, 875, 6, 77157, 212733, 1, 27779072, 0.0, 0.0, 73.3840422229121391
Exp_04, 1, 18007, 2025-02-13T13:01:25.451666, SUCCESS, 777, 6, 77157, 265105, 1, 27779072, 0.0, 0.0, 77.4567436642104587
Exp_04, 1, 18008, 2025-02-13T13:01:26.231405, SUCCESS, 780, 6, 77157, 363660, 1, 27779072, 0.0, 0.0, 82.4968184076385439
Exp_04, 1, 18006, 2025-02-13T13:01:27.014981, SUCCESS, 679, 6, 77157, 416092, 1, 27779072, 0.0, 0.0, 84.3573935274070500
Exp_04, 1, 18007, 2025-02-13T13:01:27.697071, SUCCESS, 660, 6, 77157, 514572, 1, 27779072, 0.0, 0.0, 86.9607539938045964
Exp_04, 1, 18008, 2025-02-13T13:01:28.360272, SUCCESS, 701, 6, 77157, 566880, 1, 27779072, 0.0, 0.0, 88.0197876830057900
Exp_04, 1, 18006, 2025-02-13T13:01:29.065067, SUCCESS, 687, 6, 77157, 665484, 1, 27779072, 0.0, 0.0, 89.6104578120518528
Exp_04, 1, 18007, 2025-02-13T13:01:29.755182, SUCCESS, 673, 6, 77157, 717004, 1, 27779072, 0.0, 0.0, 90.2844637296467593
Exp_04, 1, 18008, 2025-02-13T13:01:30.430899, SUCCESS, 678, 6, 77157, 816419, 1, 27779072, 0.0, 0.0, 91.3653679149842879
Exp_04, 1, 18006, 2025-02-13T13:01:31.112058, SUCCESS, 639, 6, 77157, 869060, 1, 27779072, 0.0, 0.0, 91.8457394022724174
Exp_04, 2, 18008, 2025-02-13T13:01:36.761070, SUCCESS, 662, 6, 77157, 943647, 1, 27779072, 0.0, 0.0, 92.4415460754464128
Exp_04, 2, 18006, 2025-02-13T13:01:37.426181, SUCCESS, 680, 6, 77157, 1042805, 1, 27779072, 0.0, 0.0, 93.1107484003921562
Exp_04, 2, 18007, 2025-02-13T13:01:38.109542, SUCCESS, 693, 6, 77157, 1094844, 1, 27779072, 0.0, 0.0, 93.4166438424540593
Exp_04, 2, 18006, 2025-02-13T13:01:38.805829, SUCCESS, 1058, 6, 77157, 1245267, 1, 27779072, 0.0, 0.0, 94.1654870147547231
Exp_04, 2, 18008, 2025-02-13T13:01:38.759934, SUCCESS, 1165, 8, 77157, 1277806, 1, 27779072, 0.0, 0.0, 94.3056009647495909
Exp_04, 2, 18007, 2025-02-13T13:01:39.867020, SUCCESS, 1065, 9, 77157, 1371837, 1, 27779072, 0.0, 0.0, 94.6751332303653431
Exp_04, 2, 18008, 2025-02-13T13:01:39.928639, SUCCESS, 1088, 10, 77157, 1429076, 1, 27779072, 0.0, 0.0, 94.8774857541960640
Exp_04, 2, 18006, 2025-02-13T13:01:40.935922, SUCCESS, 1005, 10, 77157, 1481152, 1, 27779072, 0.0, 0.0, 95.0486713482370955
Exp_04, 2, 18007, 2025-02-13T13:01:41.019994, SUCCESS, 1055, 10, 77157, 1583619, 1, 27779072, 0.0, 0.0, 95.3541597421928063
Exp_04, 2, 18008, 2025-02-13T13:01:41.944484, SUCCESS, 1023, 10, 77157, 1636469, 1, 27779072, 0.0, 0.0, 95.4974422656985830
Exp_04, 2, 18006, 2025-02-13T13:01:42.077988, SUCCESS, 1050, 10, 77157, 1738153, 1, 27779072, 0.0, 0.0, 95.7496515746621789
Exp_04, 2, 18007, 2025-02-13T13:01:42.971350, SUCCESS, 983, 10, 77157, 1791330, 1, 27779072, 0.0, 0.0, 95.8706161723362271
Exp_04, 2, 18008, 2025-02-13T13:01:43.130691, SUCCESS, 989, 10, 77157, 1842851, 1, 27779072, 0.0, 0.0, 95.9814229940708580
Exp_04, 2, 18006, 2025-02-13T13:01:43.957796, SUCCESS, 1050, 9, 77157, 1984140, 1, 27779072, 0.0, 0.0, 96.2568712805578235
Exp_04, 2, 18007, 2025-02-13T13:01:44.122400, SUCCESS, 967, 10, 77157, 2016243, 1, 27779072, 0.0, 0.0, 96.3142734307824592
Exp_04, 2, 18008, 2025-02-13T13:01:45.010688, SUCCESS, 1021, 8, 77157, 2143384, 1, 27779072, 0.0, 0.0, 96.5253062204210596
Exp_04, 2, 18006, 2025-02-13T13:01:45.092905, SUCCESS, 984, 10, 77157, 2190886, 1, 27779072, 0.0, 0.0, 96.5980803714920749
Exp_04, 2, 18007, 2025-02-13T13:01:46.034684, SUCCESS, 1019, 8, 77157, 2341780, 1, 27779072, 0.0, 0.0, 96.8102931163564822
Exp_04, 2, 18008, 2025-02-13T13:01:46.079993, SUCCESS, 1011, 10, 77157, 2341780, 1, 27779072, 0.0, 0.0, 96.8102931163564822
Exp_04, 2, 18006, 2025-02-13T13:01:47.057105, SUCCESS, 1039, 8, 77157, 2492692, 1, 27779072, 0.0, 0.0, 96.9976056958988641
Exp_04, 2, 18007, 2025-02-13T13:01:47.093787, SUCCESS, 1020, 10, 77157, 2492692, 1, 27779072, 0.0, 0.0, 96.9976056958988641
Exp_04, 2, 18008, 2025-02-13T13:01:48.099449, SUCCESS, 1058, 8, 77157, 2643639, 1, 27779072, 0.0, 0.0, 97.1641754839392590
Exp_04, 2, 18006, 2025-02-13T13:01:48.116164, SUCCESS, 1050, 8, 77157, 2643639, 1, 27779072, 0.0, 0.0, 97.1641754839392590
Exp_04, 2, 18007, 2025-02-13T13:01:49.160489, SUCCESS, 1092, 8, 77157, 2794551, 1, 27779072, 0.0, 0.0, 97.3132017600675278
Exp_04, 2, 18008, 2025-02-13T13:01:49.168207, SUCCESS, 1087, 8, 77157, 2794551, 1, 27779072, 0.0, 0.0, 97.3132017600675278
Exp_04, 2, 18007, 2025-02-13T13:01:50.257591, SUCCESS, 1022, 8, 77157, 2945475, 1, 27779072, 0.0, 0.0, 97.4473571377527929
Exp_04, 2, 18006, 2025-02-13T13:01:50.256590, SUCCESS, 1024, 8, 77157, 2945475, 1, 27779072, 0.0, 0.0, 97.4473571377527929
Exp_04, 2, 18006, 2025-02-13T13:01:51.282730, SUCCESS, 1083, 8, 77157, 3096399, 1, 27779072, 0.0, 0.0, 97.5687525287091200
Exp_04, 2, 18008, 2025-02-13T13:01:51.282729, SUCCESS, 1093, 8, 77157, 3096399, 1, 27779072, 0.0, 0.0, 97.5687525287091200
Exp_04, 2, 18007, 2025-02-13T13:01:52.369020, SUCCESS, 1041, 8, 77157, 3247296, 1, 27779072, 0.0, 0.0, 97.6791069087155090
Exp_04, 2, 18008, 2025-02-13T13:01:52.378553, SUCCESS, 1042, 8, 77157, 3247296, 1, 27779072, 0.0, 0.0, 97.6791069087155090
Exp_04, 2, 18007, 2025-02-13T13:01:53.423289, SUCCESS, 1043, 8, 77157, 3398232, 1, 27779072, 0.0, 0.0, 97.7799031993253129
Exp_04, 2, 18006, 2025-02-13T13:01:53.413973, SUCCESS, 1053, 8, 77157, 3398232, 1, 27779072, 0.0, 0.0, 97.7799031993253129
Exp_04, 2, 18006, 2025-02-13T13:01:54.469907, SUCCESS, 1004, 8, 77157, 3549153, 1, 27779072, 0.0, 0.0, 97.8722999412626058
Exp_04, 2, 18008, 2025-02-13T13:01:54.469714, SUCCESS, 1026, 10, 77157, 3549153, 1, 27779072, 0.0, 0.0, 97.8722999412626058
