Experimento,Nº Usuários,Taxa Erros (%),Menor Duração,Maior Duração,Duração Média,Conexões Ativas,Blocos lidos (Disco),Blocos lidos (Cache),Arq. Temp.,Tam. Arq. Temp. (GB),Cache Hit (%),Uso Máx. CPU,Uso Máx. Memória (GB)
Exp_00,1,"0,00",3179,3973,"3609,33",6,354327,101590,9,"0,43","34,92","164,41%","1,26"
Exp_00,2,"0,00",2927,4249,"3598,36",10,1271415,681582,42,"1,98","34,90","307,30%","1,65"
Exp_00,3,"0,00",3092,7575,"4129,41",12,3093372,1853221,100,"5,10","37,53","374,40%","1,93"
Exp_00,5,"0,00",2948,12052,"7066,81",13,4721227,3025110,145,"8,08","39,05","374,11%","2,47"
Exp_00,8,"0,00",4350,14994,"10498,13",17,6496226,4343080,184,"11,34","40,10","431,99%","3,28"
Exp_00,13,"0,00",4176,26649,"17251,74",22,10018496,7026301,255,"18,00","41,22","423,68%","4,63"
Exp_00,21,"45,76",4263,30151,"18856,13",30,14302409,10534590,334,"26,28","42,41","437,82%","6,63"
Exp_00,34,"50,00",4870,30282,"20477,76",43,19569448,15293109,430,"36,90","43,87","422,37%","9,66"
Exp_00,55,"88,07",5029,25762,"17156,00",56,23740929,20368362,520,"45,08","46,18","423,00%","10,64"
Exp_00,89,"85,28",3502,30061,"17415,72",64,30733586,28277752,652,"59,22","48,11","429,77%","10,78"
Exp_01,1,"0,00",1618,5318,"2556,75",6,90379,279772,4,"0,24","75,58","144,27%","1,11"
Exp_01,2,"0,00",1672,2354,"1960,86",10,90379,2218943,25,"1,52","96,09","247,90%","1,30"
Exp_01,3,"0,00",1312,2960,"2181,32",11,90379,5957590,66,"4,03","98,51","341,77%","1,50"
Exp_01,5,"0,00",1431,3388,"2606,42",14,90379,10988417,121,"7,40","99,18","344,50%","1,81"
Exp_01,8,"0,00",1310,5087,"3729,56",17,90379,16368783,180,"11,04","99,45","402,14%","2,16"
