Experimento,Nº Usuários,Consultas,(%) Erros,(%) Sucessos,Menor Duração,Maior Duração,Duração Média,Conexões Ativas,Blocos lidos (Disco),Blocos lidos (Cache),Arq. Temp.,Tam. Arq. Temp. (GB),Cache Hit (%),Uso Máx. CPU (%),Uso Máx. Memória (%)
Exp_00,1,27,"0,00","100,00",2718,5235,"3495,70",3,"6,44","2,78",27,"1,28","30,14","215,36","32,89"
Exp_00,2,49,"0,00","100,00",3127,4771,"3800,57",6,"17,13","9,64",78,"3,69","36,03","395,58","31,51"
Exp_00,3,55,"0,00","100,00",3281,9219,"5311,67",8,"29,14","17,41",127,"6,38","37,51","415,84","32,76"
Exp_00,5,57,"0,00","100,00",4403,13719,"8487,88",10,"40,80","25,65",167,"9,21","39,20","440,27","37,42"
Exp_00,8,120,"0,00","100,00",4846,18488,"13186,22",13,"63,88","43,00",235,"14,88","40,49","434,03","48,01"
Exp_00,13,104,"20,19","79,81",6079,30414,"21731,39",19,"83,31","58,17",284,"19,70","42,35","438,67","66,38"
Exp_00,21,139,"78,42","21,58",8766,30638,"18314,93",27,"108,25","80,30",350,"26,29","43,13","425,19","91,26"
Exp_00,34,317,"90,54","9,46",6810,30086,"21119,33",39,"161,17","132,82",480,"40,50","50,17","422,52","99,98"
Exp_00,55,2243,"99,42","0,58",8756,29816,"24307,08",60,"207,00","256,23",677,"52,81","58,39","405,93","90,70"
Exp_01,1,59,"0,00","100,00",1285,2901,"1573,41",3,"0,69","14,04",21,"1,28","95,32","189,32","14,13"
Exp_01,2,102,"0,00","100,00",1432,2159,"1800,90",5,"0,69","40,62",59,"3,59","98,33","303,20","11,36"
Exp_01,3,132,"0,00","100,00",1535,3306,"2066,69",8,"0,69","72,03",104,"6,34","99,05","395,58","13,37"
Exp_01,5,151,"0,00","100,00",1454,4275,"2996,87",10,"0,69","108,22",156,"9,54","99,37","420,51","16,94"
Exp_01,8,300,"0,00","100,00",1562,7827,"4791,11",14,"0,69","183,82",265,"16,26","99,63","440,08","22,68"
Exp_01,13,273,"0,00","100,00",1459,96935,"12713,14",19,"0,69","247,78",357,"21,94","99,72","438,80","31,80"
Exp_01,21,273,"0,73","99,27",2797,25918,"14780,12",28,"0,69","313,33",451,"27,75","99,78","465,36","45,03"
Exp_01,34,436,"18,81","81,19",2645,32185,"21426,23",41,"0,69","415,19",596,"36,67","99,83","474,51","67,58"
Exp_01,55,717,"70,43","29,57",4011,30337,"24268,28",63,"0,69","581,88",825,"49,60","99,88","426,38","90,50"
Exp_02,1,40,"0,00","100,00",1690,3842,"2354,28",3,"4,98","6,67",13,"0,34","62,21","211,96","16,34"
Exp_02,2,89,"0,00","100,00",1096,3589,"2068,60",6,"10,28","25,24",21,"0,54","71,41","388,75","19,42"
Exp_02,3,106,"0,00","100,00",1163,7501,"2612,79",8,"15,27","50,03",37,"1,18","77,48","421,08","21,32"
Exp_02,5,119,"0,00","100,00",1359,9752,"3905,25",10,"19,03","78,42",60,"2,35","80,73","425,69","25,15"
Exp_02,8,237,"0,00","100,00",1210,15339,"6202,26",14,"24,48","137,48",147,"6,32","84,98","433,79","32,49"
